Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR1024077	2015-07-22 17:13:15	2015-12-15 19:34:57	17420191	609706685	0	35	398		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR1024077/SRR1024077.2	SRX373164		ChIP-Seq	ChIP	GENOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP032533	PRJNA226617	2	226617	SRS498582	SAMN02391547	simple	10090	Mus musculus	GSM1258237							no					GEO	SRA110016		public	6CC2D7CCDE302935607B2C2C61CD5AB4	995743C310485946CC1C3434ABEEE142
SRR1024078	2015-07-22 17:13:26	2015-12-15 19:24:48	16614003	581490105	0	35	372		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1024078/SRR1024078.2	SRX373165		ChIP-Seq	ChIP	GENOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP032533	PRJNA226617	2	226617	SRS498583	SAMN02391545	simple	10090	Mus musculus	GSM1258238							no					GEO	SRA110016		public	9FE2A2554271B8B5E3260173E4BEB667	31EA9110842BBA4AC6C25671E68EC47F
SRR1270144	2015-07-22 17:13:26	2015-12-09 03:26:35	27347930	957177550	0	35	543		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1270144/SRR1270144.2	SRX373166		ChIP-Seq	ChIP	GENOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP032533	PRJNA226617	2	226617	SRS498584	SAMN02391548	simple	10090	Mus musculus	GSM1258239							no					GEO	SRA110016		public	5AFE0A3FBEF37F3491FE614D66D67D6F	C1242976A4F56331B29531FBA7C09AC3
SRR1270145	2015-07-22 17:13:26	2015-12-09 03:27:17	34721596	1215255860	0	35	707		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1270145/SRR1270145.2	SRX373167		ChIP-Seq	ChIP	GENOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP032533	PRJNA226617	2	226617	SRS498585	SAMN02391546	simple	10090	Mus musculus	GSM1258240							no					GEO	SRA110016		public	3559F8B92B1FC7B8ED70913E5DA25CBC	F1920E172C466E6D70586CB5A5C25CC3
SRR1024081	2015-07-22 17:13:15	2015-12-15 19:38:25	16554507	579407745	0	35	363		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR1024081/SRR1024081.2	SRX373168		ChIP-Seq	ChIP	GENOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP032533	PRJNA226617	2	226617	SRS498586	SAMN02391544	simple	10090	Mus musculus	GSM1258241							no					GEO	SRA110016		public	534CE84AB8EEADC618850BC0DC3B4356	51B54035FC0294633A20F839C8B01DCF
SRR1024082	2015-07-22 17:13:26	2015-12-15 19:31:57	12847878	449675730	0	35	318		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR1024082/SRR1024082.2	SRX373169		ChIP-Seq	ChIP	GENOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP032533	PRJNA226617	2	226617	SRS498587	SAMN02391549	simple	10090	Mus musculus	GSM1258242							no					GEO	SRA110016		public	2B5FDD1BEC17DEACDB420C444437F725	BC6FAEB4F6BD89541E497BAF5E99CE95
SRR1040774	2015-07-22 17:13:13	2015-12-16 02:40:53	18462065	646172275	0	35	416		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1040774/SRR1040774.2	SRX385355		ChIP-Seq	ChIP	GENOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP032533	PRJNA226617	2	226617	SRS509473	SAMN02427371	simple	10090	Mus musculus	GSM1276697							no					GEO	SRA110016		public	3B3862DD893C1BC51D4D00044FFD4B7A	C2C4277F1DD68EEF98135703F8F735C6
SRR1040775	2015-07-22 17:13:15	2015-12-16 03:09:40	15995572	559845020	0	35	385		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1040775/SRR1040775.2	SRX385356		ChIP-Seq	ChIP	GENOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP032533	PRJNA226617	2	226617	SRS509474	SAMN02427363	simple	10090	Mus musculus	GSM1276698							no					GEO	SRA110016		public	5E400166C28C43D1873525F40F771BC5	16D68FCDE7A2825ADD781B69357B9522
SRR1040776	2015-07-22 17:13:13	2015-12-16 03:25:10	7062856	226011392	0	32	133		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1040776/SRR1040776.2	SRX385357		ChIP-Seq	ChIP	GENOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP032533	PRJNA226617	2	226617	SRS509475	SAMN02427361	simple	10090	Mus musculus	GSM1276699							no					GEO	SRA110016		public	92109B5B26AF318A0DC84BD58D89D5E3	B81FC81F2BE4933E0F107B459D3A4BF0
SRR1040777	2015-07-22 17:13:13	2015-12-16 03:28:42	15873139	555559865	0	35	383		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1040777/SRR1040777.2	SRX385358		ChIP-Seq	ChIP	GENOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP032533	PRJNA226617	2	226617	SRS509476	SAMN02427362	simple	10090	Mus musculus	GSM1276700							no					GEO	SRA110016		public	7836E948F4D9A49B6F656B7C88BB9ACA	36B4F975831A0FA49A97F998EC51C6E7
