Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[sex]	Characteristics[strain]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[genotype]	Material Type	Description	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Factor Value[immunoprecipitate]	Factor Value[cell type]	Factor Value[genotype]
BT1140	ERS1587678	SAMEA103898510	Mus musculus	male	C57BL/6	ESC derived cell line	epiblast-like cells	pPyCAGIP empty vector	cell	Mock	P-MTAB-54428	P-MTAB-54429	P-MTAB-54424	P-MTAB-54425	BT1140	DNA	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	  	  	P-MTAB-54426	VIB-Center for cancer Biology	BT1140	sequencing assay	ERX1936777	BT1140.160810.HiSeq2500.FCB.lane8.gcap_16_04.R1.fastq.gz	BT1140.160810.HiSeq2500.FCB.lane8.gcap_16_04.R1.fastq.gz	ERR1876252	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/002/ERR1876252/ERR1876252.fastq.gz	  	  	anti-6X His tag (Abcam #ab18184)	epiblast-like cells	pPyCAGIP empty vector
BT1138	ERS1587679	SAMEA103898511	Mus musculus	male	C57BL/6	ESC derived cell line	epiblast-like cells	pPyCAGIP vector expressing JMJD8(27-271)-V5/His	cell	Jmjd8(27-271)-clone2	P-MTAB-54428	P-MTAB-54429	P-MTAB-54424	P-MTAB-54425	BT1138	DNA	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	  	  	P-MTAB-54426	VIB-Center for cancer Biology	BT1138	sequencing assay	ERX1936778	BT1138.160810.HiSeq2500.FCB.lane8.gcap_16_04.R1.fastq.gz	BT1138.160810.HiSeq2500.FCB.lane8.gcap_16_04.R1.fastq.gz	ERR1876253	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/003/ERR1876253/ERR1876253.fastq.gz	  	  	anti-6X His tag (Abcam #ab18184)	epiblast-like cells	pPyCAGIP vector expressing JMJD8(27-271)-V5/His
BT1183	ERS1587680	SAMEA103898512	Mus musculus	female	C57BL/6	ESC derived cell line	B6 incipient congenic (N5; >95% B6) epiblast-like cells	homozygous Tet1 gene trap GT(RRG140)	cell	Tet1 ChIP-seq in wt EpiLC	P-MTAB-54427	P-MTAB-54428	P-MTAB-54424	P-MTAB-54425	BT1183	DNA	PAIRED	ChIP	GENOMIC	not applicable	ChIP-Seq	400	50	P-MTAB-54426	VIB-Center for cancer Biology	BT1183	sequencing assay	ERX1936779	BT1183.PUMA.160830.HiSeq2500.FCB.lane8.gcap_16_04.R1.fastq.gz	BT1183.PUMA.160830.HiSeq2500.FCB.lane8.gcap_16_04.R1.fastq.gz	ERR1876258	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/008/ERR1876258/ERR1876258.fastq.gz	252	127	anti-TET1 (Millipore #09-872, lot #2712483)	B6 incipient congenic (N5; >95% B6) epiblast-like cells	homozygous Tet1 gene trap GT(RRG140)
BT1183	ERS1587680	SAMEA103898512	Mus musculus	female	C57BL/6	ESC derived cell line	B6 incipient congenic (N5; >95% B6) epiblast-like cells	homozygous Tet1 gene trap GT(RRG140)	cell	Tet1 ChIP-seq in wt EpiLC	P-MTAB-54427	P-MTAB-54428	P-MTAB-54424	P-MTAB-54425	BT1183	DNA	PAIRED	ChIP	GENOMIC	not applicable	ChIP-Seq	400	50	P-MTAB-54426	VIB-Center for cancer Biology	BT1183	sequencing assay	ERX1936779	BT1183.PUMA.160830.HiSeq2500.FCB.lane8.gcap_16_04.R2.fastq.gz	BT1183.PUMA.160830.HiSeq2500.FCB.lane8.gcap_16_04.R2.fastq.gz	ERR1876258	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/008/ERR1876258/ERR1876258.fastq.gz	252	127	anti-TET1 (Millipore #09-872, lot #2712483)	B6 incipient congenic (N5; >95% B6) epiblast-like cells	homozygous Tet1 gene trap GT(RRG140)
BT1184	ERS1587681	SAMEA103898513	Mus musculus	female	C57BL/6	ESC derived cell line	B6 incipient congenic (N5; >95% B6) epiblast-like cells	homozygous Tet1 gene trap GT(RRG140)	cell	Tet1 ChIP-seq in wt EpiLC	P-MTAB-54427	P-MTAB-54428	P-MTAB-54424	P-MTAB-54425	BT1184	DNA	PAIRED	ChIP	GENOMIC	not applicable	ChIP-Seq	400	50	P-MTAB-54426	VIB-Center for cancer Biology	BT1184	sequencing assay	ERX1936780	BT1184.PUMA.160830.HiSeq2500.FCB.lane8.gcap_16_04.R1.fastq.gz	BT1184.PUMA.160830.HiSeq2500.FCB.lane8.gcap_16_04.R1.fastq.gz	ERR1876259	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/009/ERR1876259/ERR1876259.fastq.gz	252	127	anti-TET1 (Millipore #09-872, lot #2712483)	B6 incipient congenic (N5; >95% B6) epiblast-like cells	homozygous Tet1 gene trap GT(RRG140)
BT1184	ERS1587681	SAMEA103898513	Mus musculus	female	C57BL/6	ESC derived cell line	B6 incipient congenic (N5; >95% B6) epiblast-like cells	homozygous Tet1 gene trap GT(RRG140)	cell	Tet1 ChIP-seq in wt EpiLC	P-MTAB-54427	P-MTAB-54428	P-MTAB-54424	P-MTAB-54425	BT1184	DNA	PAIRED	ChIP	GENOMIC	not applicable	ChIP-Seq	400	50	P-MTAB-54426	VIB-Center for cancer Biology	BT1184	sequencing assay	ERX1936780	BT1184.PUMA.160830.HiSeq2500.FCB.lane8.gcap_16_04.R2.fastq.gz	BT1184.PUMA.160830.HiSeq2500.FCB.lane8.gcap_16_04.R2.fastq.gz	ERR1876259	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/009/ERR1876259/ERR1876259.fastq.gz	252	127	anti-TET1 (Millipore #09-872, lot #2712483)	B6 incipient congenic (N5; >95% B6) epiblast-like cells	homozygous Tet1 gene trap GT(RRG140)
BT1181	ERS1587682	SAMEA103898514	Mus musculus	male	C57BL/6	ESC derived cell line	B6 incipient congenic (N5; >95% B6) epiblast-like cells	wild type	cell	Tet1 ChIP-seq in wt EpiLC	P-MTAB-54427	P-MTAB-54429	P-MTAB-54424	P-MTAB-54425	BT1181	DNA	PAIRED	ChIP	GENOMIC	not applicable	ChIP-Seq	400	50	P-MTAB-54426	VIB-Center for cancer Biology	BT1181	sequencing assay	ERX1936781	BT1181.PUMA.160830.HiSeq2500.FCB.lane7.gcap_16_04.R1.fastq.gz	BT1181.PUMA.160830.HiSeq2500.FCB.lane7.gcap_16_04.R1.fastq.gz	ERR1876260	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/000/ERR1876260/ERR1876260.fastq.gz	252	127	anti-TET1 (Millipore #09-872, lot #2712483)	B6 incipient congenic (N5; >95% B6) epiblast-like cells	wild type
BT1181	ERS1587682	SAMEA103898514	Mus musculus	male	C57BL/6	ESC derived cell line	B6 incipient congenic (N5; >95% B6) epiblast-like cells	wild type	cell	Tet1 ChIP-seq in wt EpiLC	P-MTAB-54427	P-MTAB-54429	P-MTAB-54424	P-MTAB-54425	BT1181	DNA	PAIRED	ChIP	GENOMIC	not applicable	ChIP-Seq	400	50	P-MTAB-54426	VIB-Center for cancer Biology	BT1181	sequencing assay	ERX1936781	BT1181.PUMA.160830.HiSeq2500.FCB.lane7.gcap_16_04.R2.fastq.gz	BT1181.PUMA.160830.HiSeq2500.FCB.lane7.gcap_16_04.R2.fastq.gz	ERR1876260	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/000/ERR1876260/ERR1876260.fastq.gz	252	127	anti-TET1 (Millipore #09-872, lot #2712483)	B6 incipient congenic (N5; >95% B6) epiblast-like cells	wild type
BT1182	ERS1587683	SAMEA103898515	Mus musculus	male	C57BL/6	ESC derived cell line	B6 incipient congenic (N5; >95% B6) epiblast-like cells	wild type	cell	Tet1 ChIP-seq in wt EpiLC	P-MTAB-54427	P-MTAB-54429	P-MTAB-54424	P-MTAB-54425	BT1182	DNA	PAIRED	ChIP	GENOMIC	not applicable	ChIP-Seq	400	50	P-MTAB-54426	VIB-Center for cancer Biology	BT1182	sequencing assay	ERX1936782	BT1182.PUMA.160830.HiSeq2500.FCB.lane7.gcap_16_04.R1.fastq.gz	BT1182.PUMA.160830.HiSeq2500.FCB.lane7.gcap_16_04.R1.fastq.gz	ERR1876261	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/001/ERR1876261/ERR1876261.fastq.gz	252	127	anti-TET1 (Millipore #09-872, lot #2712483)	B6 incipient congenic (N5; >95% B6) epiblast-like cells	wild type
BT1182	ERS1587683	SAMEA103898515	Mus musculus	male	C57BL/6	ESC derived cell line	B6 incipient congenic (N5; >95% B6) epiblast-like cells	wild type	cell	Tet1 ChIP-seq in wt EpiLC	P-MTAB-54427	P-MTAB-54429	P-MTAB-54424	P-MTAB-54425	BT1182	DNA	PAIRED	ChIP	GENOMIC	not applicable	ChIP-Seq	400	50	P-MTAB-54426	VIB-Center for cancer Biology	BT1182	sequencing assay	ERX1936782	BT1182.PUMA.160830.HiSeq2500.FCB.lane7.gcap_16_04.R2.fastq.gz	BT1182.PUMA.160830.HiSeq2500.FCB.lane7.gcap_16_04.R2.fastq.gz	ERR1876261	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/001/ERR1876261/ERR1876261.fastq.gz	252	127	anti-TET1 (Millipore #09-872, lot #2712483)	B6 incipient congenic (N5; >95% B6) epiblast-like cells	wild type
