Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR1539417	2015-03-20 17:05:22	2014-08-08 13:34:44	11082643	554132150	0	50	305		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1539417/SRR1539417.1	SRX672370		ChIP-Seq	ChIP	GENOMIC	SINGLE	0	0	ABI_SOLID	AB 5500xl Genetic Analyzer	SRP045366	PRJNA257807	2	257807	SRS676861	SAMN02979049	simple	10090	Mus musculus	GSM1467581							no					GEO	SRA178486		public	FB0F959DB8E3F875CBB07D58A97819B0	60F8E5EC8C1774C3899251A6D651F339
SRR1539418	2015-03-20 17:05:22	2014-08-08 13:34:58	11282729	564136450	0	50	317		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1539418/SRR1539418.1	SRX672370		ChIP-Seq	ChIP	GENOMIC	SINGLE	0	0	ABI_SOLID	AB 5500xl Genetic Analyzer	SRP045366	PRJNA257807	2	257807	SRS676861	SAMN02979049	simple	10090	Mus musculus	GSM1467581							no					GEO	SRA178486		public	E05B7D504E201755EBE6935F24CE78B3	411FEE7810373F6E9246D0478DFA5EFD
SRR1539419	2015-03-20 17:05:22	2014-08-08 13:35:06	11786800	589340000	0	50	332		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1539419/SRR1539419.1	SRX672370		ChIP-Seq	ChIP	GENOMIC	SINGLE	0	0	ABI_SOLID	AB 5500xl Genetic Analyzer	SRP045366	PRJNA257807	2	257807	SRS676861	SAMN02979049	simple	10090	Mus musculus	GSM1467581							no					GEO	SRA178486		public	6FBCF793F9A3A425118DB79E1D90A2DD	18F8E09F522BDDDD4AA9D79212876D3B
SRR1539420	2015-03-20 17:05:22	2014-08-08 13:35:23	11907400	595370000	0	50	332		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1539420/SRR1539420.1	SRX672370		ChIP-Seq	ChIP	GENOMIC	SINGLE	0	0	ABI_SOLID	AB 5500xl Genetic Analyzer	SRP045366	PRJNA257807	2	257807	SRS676861	SAMN02979049	simple	10090	Mus musculus	GSM1467581							no					GEO	SRA178486		public	1A524B888D0C7B7ED222638E7858DB74	18D449BA4ECC5B3FF2C4C99D2AC15871
SRR1539421	2015-03-20 17:05:22	2014-08-08 13:34:53	12107608	605380400	0	50	339		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1539421/SRR1539421.1	SRX672370		ChIP-Seq	ChIP	GENOMIC	SINGLE	0	0	ABI_SOLID	AB 5500xl Genetic Analyzer	SRP045366	PRJNA257807	2	257807	SRS676861	SAMN02979049	simple	10090	Mus musculus	GSM1467581							no					GEO	SRA178486		public	5B903AC98BF73CDCAB8C79A1D45971DF	72669938A69958770C18DE038A809E6C
SRR1539422	2015-03-20 17:05:22	2014-08-08 13:50:54	134639953	6731997650	0	50	3490		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1539422/SRR1539422.1	SRX672371		ChIP-Seq	ChIP	GENOMIC	SINGLE	0	0	ABI_SOLID	AB 5500xl Genetic Analyzer	SRP045366	PRJNA257807	2	257807	SRS676864	SAMN02979050	simple	10090	Mus musculus	GSM1467582							no					GEO	SRA178486		public	19624434730B1E67BB0A6647D796FCF4	57280BFC2C390D05A1D0B790F81577AB
SRR1539423	2015-03-20 17:05:22	2014-08-08 13:35:11	10428558	521427900	0	50	283		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1539423/SRR1539423.1	SRX672372		ChIP-Seq	ChIP	GENOMIC	SINGLE	0	0	ABI_SOLID	AB 5500xl Genetic Analyzer	SRP045366	PRJNA257807	2	257807	SRS676863	SAMN02979051	simple	10090	Mus musculus	GSM1467583							no					GEO	SRA178486		public	9B45B209B275C8CF603140CA0CADCCF8	18448C047A78ECF4DF7D98241BD8A4CA
SRR1539424	2015-03-20 17:05:22	2014-08-08 13:35:04	10447761	522388050	0	50	290		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1539424/SRR1539424.1	SRX672372		ChIP-Seq	ChIP	GENOMIC	SINGLE	0	0	ABI_SOLID	AB 5500xl Genetic Analyzer	SRP045366	PRJNA257807	2	257807	SRS676863	SAMN02979051	simple	10090	Mus musculus	GSM1467583							no					GEO	SRA178486		public	2EAB525381DCE4B6EC4D0E59C54BB496	F7E0E093FA94ACDE39A5071F4BAA2A98
SRR1539425	2015-03-20 17:05:22	2014-08-08 13:35:23	10830760	541538000	0	50	301		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1539425/SRR1539425.1	SRX672372		ChIP-Seq	ChIP	GENOMIC	SINGLE	0	0	ABI_SOLID	AB 5500xl Genetic Analyzer	SRP045366	PRJNA257807	2	257807	SRS676863	SAMN02979051	simple	10090	Mus musculus	GSM1467583							no					GEO	SRA178486		public	918CDE7C45657C0FCCC7B7F199BFADE3	8B00C4EFA39E0467C20858E2C7C3301A
SRR1539426	2015-03-20 17:05:22	2014-08-08 13:35:16	10869447	543472350	0	50	301		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1539426/SRR1539426.1	SRX672372		ChIP-Seq	ChIP	GENOMIC	SINGLE	0	0	ABI_SOLID	AB 5500xl Genetic Analyzer	SRP045366	PRJNA257807	2	257807	SRS676863	SAMN02979051	simple	10090	Mus musculus	GSM1467583							no					GEO	SRA178486		public	C16ABAA9248249F0FCED1C5C629CDEFA	483E294FCE3DD04410419031D8FED3FA
