Assay_Type_s	AvgSpotLen_l	BioSample_s	Experiment_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	cell_embruos_number_s	developmental_stage_s	source_name_s	strain_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s
DNase-Hypersensitivity	101	SAMN04388455	SRX1521633	DNase	GENOMIC	2016-01-07	2608	1802	SRR3091087	SRS1239651	GSM2029791	100 embryos		1-cell IVF embryos (12 hrs after fertilization)	BDF1 oocyte x JF1 sperm	PRJNA308221	GEO	public	0	Illumina HiSeq 2500	SINGLE	Mus musculus	ILLUMINA	2016-06-03	SRP068205
DNase-Hypersensitivity	100	SAMN04388456	SRX1521634	DNase	GENOMIC	2016-01-07	2014	1277	SRR3091088	SRS1239650	GSM2029792	100 embryos		1-cell IVF embryos (12 hrs after fertilization)	BDF1 oocyte x JF1 sperm	PRJNA308221	GEO	public	0	Illumina HiSeq 2500	SINGLE	Mus musculus	ILLUMINA	2016-06-03	SRP068205
DNase-Hypersensitivity	91	SAMN04388457	SRX1521635	DNase	GENOMIC	2016-01-07	8176	4147	SRR3091089	SRS1239649	GSM2029793	100 embryos		2-cell IVF embryos (30 hrs after fertilization)	BDF1 oocyte x JF1 sperm	PRJNA308221	GEO	public	0	Illumina HiSeq 2500	SINGLE	Mus musculus	ILLUMINA	2016-06-03	SRP068205
DNase-Hypersensitivity	100	SAMN04388458	SRX1521636	DNase	GENOMIC	2016-01-07	1902	974	SRR3091090	SRS1239648	GSM2029794	100 embryos		2-cell IVF embryos (30 hrs after fertilization)	BDF1 oocyte x JF1 sperm	PRJNA308221	GEO	public	0	Illumina HiSeq 2500	SINGLE	Mus musculus	ILLUMINA	2016-06-03	SRP068205
DNase-Hypersensitivity	50	SAMN04388459	SRX1521637	DNase	GENOMIC	2016-01-07	1495	699	SRR3091091	SRS1239647	GSM2029795	50 embryos		4-cell IVF embryos (46 hrs after fertilization)	BDF1 oocyte x JF1 sperm	PRJNA308221	GEO	public	0	Illumina HiSeq 2500	SINGLE	Mus musculus	ILLUMINA	2016-06-03	SRP068205
DNase-Hypersensitivity	100	SAMN04388460	SRX1521638	DNase	GENOMIC	2016-01-07	4970	2508	SRR3091092	SRS1239646	GSM2029796	50 embryos		4-cell IVF embryos (46 hrs after fertilization)	BDF1 oocyte x JF1 sperm	PRJNA308221	GEO	public	0	Illumina HiSeq 2500	SINGLE	Mus musculus	ILLUMINA	2016-06-03	SRP068205
DNase-Hypersensitivity	100	SAMN04388461	SRX1521639	DNase	GENOMIC	2016-01-07	5948	3024	SRR3091093	SRS1239645	GSM2029797	25 embryos		8-cell IVF embryos (60 hrs after fertilization)	BDF1 oocyte x JF1 sperm	PRJNA308221	GEO	public	0	Illumina HiSeq 2500	SINGLE	Mus musculus	ILLUMINA	2016-06-03	SRP068205
DNase-Hypersensitivity	100	SAMN04388462	SRX1521640	DNase	GENOMIC	2016-01-07	1878	962	SRR3091094	SRS1239643	GSM2029798	25 embryos		8-cell IVF embryos (60 hrs after fertilization)	BDF1 oocyte x JF1 sperm	PRJNA308221	GEO	public	0	Illumina HiSeq 2500	SINGLE	Mus musculus	ILLUMINA	2016-06-03	SRP068205
DNase-Hypersensitivity	86	SAMN04388463	SRX1521641	DNase	GENOMIC	2016-01-11	4464	2277	SRR3091095	SRS1239644	GSM2029799	10 embryos		Morula IVF embryos (78 hrs after fertilization)	BDF1 oocyte x JF1 sperm	PRJNA308221	GEO	public	0	Illumina HiSeq 2500	SINGLE	Mus musculus	ILLUMINA	2016-06-03	SRP068205
DNase-Hypersensitivity	100	SAMN04388464	SRX1521642	DNase	GENOMIC	2016-01-07	3509	1793	SRR3091096	SRS1239642	GSM2029800	10 embryos		Morula IVF embryos (78 hrs after fertilization)	BDF1 oocyte x JF1 sperm	PRJNA308221	GEO	public	0	Illumina HiSeq 2500	SINGLE	Mus musculus	ILLUMINA	2016-06-03	SRP068205
